Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2015,1100,T,B,1902117,7344052,7982044,7088803,6680921,8737458,12328974,11967782,10823350,10017234,9024584,10491242,10807170,9190242,6724475,3588560,4993816,2417417,1986634
2015,1100,T,M,977935,3772592,4088826,3630015,3418336,4456921,6239463,5978237,5302379,4848480,4303243,4843540,4761366,3784666,2593365,1211241,1495228,636369,428501
2015,1100,T,F,924182,3571460,3893219,3458789,3262585,4280537,6089511,5989545,5520971,5168754,4721341,5647702,6045804,5405577,4131110,2377319,3498589,1781048,1558133
2015,1100,U,B,1397258,5249008,5670593,5000937,4803524,6740414,9553019,9328376,8354898,7616597,6629312,7593429,7833650,6798729,5119480,2667690,3616731,1709402,1444156
2015,1100,U,M,718543,2697575,2905599,2560122,2444048,3383197,4746320,4599452,4050830,3651737,3113734,3421592,3343064,2715722,1926708,892604,1067388,441954,316424
2015,1100,U,F,678715,2551433,2764994,2440815,2359476,3357218,4806699,4728924,4304068,3964860,3515578,4171837,4490586,4083007,3192772,1775086,2549343,1267448,1127733
2015,1100,R,B,504860,2095044,2311452,2087867,1877398,1997044,2775955,2639406,2468452,2400637,2395273,2897814,2973520,2391514,1604996,920870,1377086,708015,542478
2015,1100,R,M,259393,1075018,1183227,1069893,974288,1073724,1493143,1378785,1251549,1196743,1189509,1421948,1418303,1068944,666657,318637,427840,194415,112078
2015,1100,R,F,245467,1020027,1128225,1017974,903110,923320,1282812,1260621,1216903,1203894,1205764,1475866,1555218,1322570,938339,602233,949246,513600,430401
2015,3000,T,B,449132,1706795,1839648,1673553,1608878,2157691,3264191,3284035,3019132,2823236,2549780,2941800,3035907,2572091,2011143,1118865,1531824,770925,669279
2015,3000,T,M,231201,878125,942966,858779,825331,1102286,1638900,1630079,1482851,1378333,1220667,1360231,1333461,1055337,774059,380500,458310,202441,148518
2015,3000,T,F,217931,828671,896682,814775,783547,1055405,1625291,1653957,1536281,1444903,1329113,1581569,1702446,1516754,1237084,738365,1073514,568484,520762
2015,3000,U,B,373935,1391370,1495290,1356087,1314180,1803046,2731744,2773884,2541990,2354141,2080934,2371910,2434035,2082956,1651748,898238,1201370,589261,522086
2015,3000,U,M,192521,715914,766645,695283,670518,911535,1353751,1360623,1237688,1141522,985774,1078027,1045578,838598,628320,307788,361875,156934,121472
2015,3000,U,F,181414,675456,728646,660804,643662,891511,1377993,1413261,1304302,1212619,1095161,1293884,1388458,1244358,1023429,590451,839495,432327,400614
2015,3000,R,B,75197,315426,344358,317466,294698,354645,532447,510151,477142,469095,468846,569890,601872,489135,359395,220627,330455,181664,147194
2015,3000,R,M,38680,162211,176322,163496,154813,190751,285149,269456,245163,236811,234894,282205,287884,216740,145739,72712,96436,45507,27046
2015,3000,R,F,36517,153215,168036,153971,139885,163894,247298,240696,231979,232285,233953,287686,313988,272396,213656,147915,234019,136157,120148
