Код;Наименование
0;Все причины смерти
1;Холера
2;Брюшной тиф
3;Паратифы
4;Другие сальмонеллезные инфекции
5;Шигеллез
6;Другие пищевые отравления (бактериальные) исключая сальмонеллез
7;Другие бактериальные кишечные инфекции, включая амебиаз и другие протозойные кишечные заболевания
8;Другой гастроэнтерит и колит инфекционного и неуточненного происхождения
9;Туберкулез органов дыхания, подтвержденный бактериологически и гистологически
10;Туберкулез органов дыхания, не подтвержденный бактериологически и гистологически
11;Другие формы туберкулеза, включая поздние осложнения
12;Чума
13;Сибирская язва
14;Бруцеллез
15;Лепра (болезнь Хансена)
16;Столбняк новорожденного
17;Акушерский столбняк
18;Другой столбняк
19;Дифтерия
20;Коклюш
21;Скарлатина
22;Менингококковая инфекция
23;Сепсис
24;Рожа
25;Другие бактериальные инфекции, кроме пищевых токсикоинфекций
26;Сифилис (все формы)
27;Другие инфекции, передающиеся преимущественно половым путем
28;Возвратные лихорадки (возвратный тиф)
29;Сыпной тиф
30;Другие риккетсиозы
31;Острый полиомиелит
32;Бешенство
33;Вирусный энцефалит
34;Желтая лихорадка
35;Другие вирусные лихорадки и вирусные геморрагические лихорадки, передаваемые членистоногими
36;Корь
37;Острый гепатит А
38;Острый гепатит В
39;Острый вирусный гепатит С
40;Хронические вирусные гепатиты B
41;Хронический вирусный гепатит C
42;Прочие острые и хронические вирусные гепатиты
43;Болезнь, вызванная вирусом иммунодефицита человека (ВИЧ)
44;Другие болезни, вызываемые вирусами
45;Протозойные заболевания (Малярия)
46;Лейшманиоз
47;Трипаносомоз
48;Шистосомоз
49;Эхинококкоз
50;Филяриатоз и дракункулез
51;Другие гельминтозы
52;Другие инфекционные и паразитарные болезни
53;Отдаленные последствия других инфекционных и паразитарных болезней, включая поздние осложнения полиомиелита
54;Злокачественные новообразования губы, полости рта и глотки
55;Злокачественные новообразования пищевода
56;Злокачественные новообразования желудка
57;Злокачественные новообразования тонкого кишечника, включая двенадцатиперстную кишку
58;Злокачественные новообразования ободочной кишки
59;Злокачественные новообразования прямой кишки, ректосигмоидного соединения, заднего прохода и анального канала
