Код,Наименование
1100,Российская Федерация до 17 марта 2014
643,Российская Федерация после 17 марта 2014
3000,Центральный федеральный округ
1114,Белгородская область
1115,Брянская область
1117,Владимирская область
1120,Воронежская область
1124,Ивановская область
1129,Калужская область
1134,Костромская область
1138,Курская область
1142,Липецкая область
1146,Московская область
1154,Орловская область
1161,Рязанская область
1166,Смоленская область
1168,Тамбовская область
1128,Тверская область
1170,Тульская область
1178,Ярославская область
1145,Москва
3100,Северо-Западный федеральный округ
1186,Республика Карелия
1187,Республика Коми
1111,Архангельская область
111,Ненецкий автономный округ
1119,Вологодская область
1127,Калининградская область
1141,Ленинградская область
1147,Мурманская область
1149,Новгородская область
1158,Псковская область
1140,Санкт-Петербург
3700,Южный федеральный округ до 28 июля 2016
4000,Южный федеральный округ после 28 июля 2016
1179,Республика Адыгея
1185,Республика Калмыкия
1103,Краснодарский край
1112,Астраханская область
1118,Волгоградская область
1160,Ростовская область
3800,Северо-Кавказский федеральный округ
1182,Республика Дагестан
1126,Ингушская республика
1183,Кабардино-Балкарская Республика
1191,Карачаево-Черкесская Республика
1190,Республика Северная Осетия
1196,Чеченская республика
1107,Ставропольский край
3300,Приволжский федеральный округ
1180,Республика Башкортостан
1188,Республика Марий Эл
1189,Республика Мордовия
1192,Республика Татарстан
1194,Удмуртская Республика
1197,Чувашская Республика
1157,Пермский край
1133,Кировская область
1122,Нижегородская область
1153,Оренбургская область
1156,Пензенская область
1136,Самарская область
1163,Саратовская область
1173,Ульяновская область
3400,Уральский федеральный округ
1137,Курганская область
1165,Свердловская область
1171,Тюменская область
171,Ханты-Мансийский автономный округ
271,Ямало-Ненецкий автономный округ
1175,Челябинская область
3500,Сибирский федеральный округ до ноября 2018
4100,Сибирский федеральный округ после ноября 2018
1184,Республика Алтай
1181,Республика Бурятия
1193,Республика Тыва
1195,Республика Хакасия
1101,Алтайский край
1176,Забайкальский край
1104,Красноярский край
1125,Иркутская область
1132,Кемеровская область
1150,Новосибирская область
1152,Омская область
1169,Томская область
3600,Дальневосточный федеральный округ до ноября 2018
4200,Дальневосточный федеральный округ после ноября 2018
1198,Республика Саха (Якутия)
1130,Камчатский край
1105,Приморский край
1108,Хабаровский край
1110,Амурская область
1144,Магаданская область
1164,Сахалинская область
1199,Еврейская автономная область
1177,Чукотский автономный округ
1135,Республика Крым
1167,Севастополь
